"","M","n","iterations","conv","sign_level","num.outliers","num.expected","gauge","avar","avar_est","prop_t","prop_p","prop_reject_001","prop_reject_005","prop_reject_010","count_p","count_reject_001","count_reject_005","count_reject_010"
"1",10,10000,"convergence",10,0.05,506,500,0.0506,0.118855573977533,0.118855573977533,0.174036953956894,0.861836420314703,FALSE,FALSE,FALSE,0.788411923473513,FALSE,FALSE,FALSE
"2",10,10000,"convergence",7,0.05,532,500,0.0532,0.118855573977533,0.118855573977533,0.928197087770108,0.353305344814336,FALSE,FALSE,FALSE,0.152362361229772,FALSE,FALSE,FALSE
"3",10,10000,"convergence",5,0.05,526,500,0.0526,0.118855573977533,0.118855573977533,0.754160133813213,0.45075307264841,FALSE,FALSE,FALSE,0.244856322138198,FALSE,FALSE,FALSE
"4",10,10000,"convergence",6,0.05,473,500,0.0473,0.118855573977533,0.118855573977533,0.78316629280603,0.433529466001477,FALSE,FALSE,FALSE,0.235908326277122,FALSE,FALSE,FALSE
"5",10,10000,"convergence",15,0.05,421,500,0.0421,0.118855573977533,0.118855573977533,2.29148656043246,0.0219352882942427,FALSE,TRUE,TRUE,0.000316310041738023,TRUE,TRUE,TRUE
"6",10,10000,"convergence",5,0.05,522,500,0.0522,0.118855573977533,0.118855573977533,0.63813549784195,0.523385480779438,FALSE,FALSE,FALSE,0.325098382485811,FALSE,FALSE,FALSE
"7",10,10000,"convergence",5,0.05,501,500,0.0501,0.118855573977533,0.118855573977533,0.0290061589928147,0.976859678496512,FALSE,FALSE,FALSE,0.964323464260976,FALSE,FALSE,FALSE
"8",10,10000,"convergence",6,0.05,438,500,0.0438,0.118855573977533,0.118855573977533,1.79838185755459,0.0721165157795072,FALSE,FALSE,TRUE,0.00517311227970252,TRUE,TRUE,TRUE
"9",10,10000,"convergence",5,0.05,471,500,0.0471,0.118855573977533,0.118855573977533,0.841178610791661,0.400247881207196,FALSE,FALSE,FALSE,0.202393560790637,FALSE,FALSE,FALSE
"10",10,10000,"convergence",8,0.05,570,500,0.057,0.118855573977533,0.118855573977533,2.03043112949711,0.0423127350918723,FALSE,TRUE,TRUE,0.00217878998257512,TRUE,TRUE,TRUE
